country_code,date,likes,place_full_name,place_name,place_type,retweets,text,verified,Sentiment Label,city,state_id,state_name,county_name,lat,lng,round_date
US,2021-05-15 04:29:10,0.0,"Aspen Hill, MD",Aspen Hill,city,0.0,i don understand how year into covid some people can still say its lie will continue wearing my mask because feel safer with it,0.0,1,Aspen Hill,MD,Maryland,Montgomery,39.0928,-77.0823,2021-05-15 04:00:00
US,2021-05-15 04:29:08,0.0,"Glen Head, NY",Glen Head,city,0.0,so just saw vaccine psa using they them pronouns in the same breath as she her and he him pronouns and my heart,0.0,1,Glen Head,NY,New York,Nassau,40.845,-73.618,2021-05-15 04:00:00
US,2021-05-15 04:28:15,0.0,"Clovis, CA",Clovis,city,0.0,my young healthy 56 yr old father died of covid induced stroke in december within 15 hour,0.0,0,Clovis,CA,California,Fresno,36.8278,-119.6831,2021-05-15 04:00:00
US,2021-05-15 04:27:46,0.0,"Pella, IA",Pella,city,0.0,exactly here a related article,0.0,1,Pella,IA,Iowa,Marion,41.4051,-92.9177,2021-05-15 04:00:00
US,2021-05-15 04:26:11,0.0,"Norton Shores, MI",Norton Shores,city,0.0,thank you for honoring your citizens as they honor you thank you for guiding you citizens as you wo,0.0,1,Norton Shores,MI,Michigan,Muskegon,43.1621,-86.2519,2021-05-15 04:00:00
US,2021-05-15 04:25:14,1.0,"St Louis, MO",St Louis,city,0.0,i think it time to update the marshall plan maybe more of marshall mathers plan this time around,0.0,1,,,,,,,2021-05-15 04:00:00
US,2021-05-15 04:25:08,1.0,"San Diego, CA",San Diego,city,0.0,i surprised which already verifies membership in hawaii we had to produce our phones to sh,0.0,1,San Diego,CA,California,San Diego,32.8312,-117.1225,2021-05-15 04:00:00
US,2021-05-15 04:24:50,0.0,"Cabot, AR",Cabot,city,0.0,something scary seems to be emerging about dr fauci the wuhan virus lab and the global covid 19 pandemic did he a,0.0,0,Cabot,AR,Arkansas,Lonoke,34.9768,-92.0274,2021-05-15 04:00:00
US,2021-05-15 04:24:35,0.0,"West Hollywood, CA",West Hollywood,city,0.0,when rain on me comes on at the bar for the first time for you post covid,0.0,1,West Hollywood,CA,California,Los Angeles,34.0882,-118.3718,2021-05-15 04:00:00
US,2021-05-15 04:24:11,0.0,"Port Jervis, NY",Port Jervis,city,0.0,35 000 auto deaths annually vs 600 000 covid deaths this must be the math they teach at trump university,0.0,1,Port Jervis,NY,New York,Orange,41.3783,-74.6909,2021-05-15 04:00:00
